analysis_section,policy,variable,statistic,value,p_value,effect_size,n
descriptive,proactive,latency_violations,mean,529.4289127837515,,,3348
descriptive,proactive,latency_violations,median,443.5,,,3348
descriptive,proactive,latency_violations,std,314.8528407809695,,,3348
descriptive,proactive,latency_violations,min,59.0,,,3348
descriptive,proactive,latency_violations,max,1807.0,,,3348
descriptive,proactive,latency_violations,count,3348.0,,,3348
descriptive,reactive,latency_violations,mean,558.423835125448,,,3348
descriptive,reactive,latency_violations,median,468.5,,,3348
descriptive,reactive,latency_violations,std,331.9167139252813,,,3348
descriptive,reactive,latency_violations,min,68.0,,,3348
descriptive,reactive,latency_violations,max,1950.0,,,3348
descriptive,reactive,latency_violations,count,3348.0,,,3348
mann_whitney_u,proactive_vs_reactive,latency_violations,two_sided_u_test,5310434.5,0.00020028761291395405,-0.05247832476172942,6696
spearman_correlation,proactive,bs_spacing_km,spearman_rho,-0.09399360904236202,5.074379360175795e-08,,3348
spearman_correlation,proactive,altitude_m,spearman_rho,0.0565592869935539,0.0010602652723640973,,3348
spearman_correlation,proactive,speed_kmh,spearman_rho,-0.3267716048964248,3.784851300320139e-84,,3348
spearman_correlation,proactive,service_handover_count,spearman_rho,0.8549891911983727,0.0,,3348
spearman_correlation,reactive,bs_spacing_km,spearman_rho,-0.08936070598411165,2.23062546194216e-07,,3348
spearman_correlation,reactive,altitude_m,spearman_rho,0.05812342449679111,0.0007662113959139688,,3348
spearman_correlation,reactive,speed_kmh,spearman_rho,-0.3309336424678118,2.2002767992835598e-86,,3348
spearman_correlation,reactive,service_handover_count,spearman_rho,0.9374950973114646,0.0,,3348
