origin,destination,flight_count,mean_handovers_reactive,mean_handovers_proactive,handover_reduction_pct,mean_interruption_ms_reactive,mean_interruption_ms_proactive,interruption_reduction_pct,mean_latency_violations_reactive,mean_latency_violations_proactive,latency_violation_reduction_pct
GimpoHub,Ansan,18,44.8333,8.8333,80.2974,5185.6883,309.1667,94.0381,493.8333,460.5556,6.7387
Hanam,Pangyo,18,29.8333,5.8333,80.4469,3126.3017,204.1667,93.4694,353.3889,330.7222,6.4141
GimpoHub,GimpoCity,36,9.3333,2.2222,76.1905,1118.3589,73.9444,93.3881,116.25,111.1111,4.4205
Ansan,GimpoHub,18,38.0556,8.3333,78.1022,4331.0672,291.6667,93.2657,487.5556,465.3333,4.5579
GimpoCity,Yeouido,18,35.3333,9.5556,72.956,4181.2711,302.5,92.7654,444.5,422.6667,4.9119
IncheonHub,GimpoHub,576,26.2205,7.1128,72.8729,3153.8098,243.5191,92.2786,270.9635,251.5087,7.1799
Hanam,Suwon,18,49.8889,12.5,74.9443,5490.4983,437.5,92.0317,681.2778,644.9444,5.3331
IncheonHub,Yongin,36,131.0278,35.8333,72.6521,15234.5833,1234.3611,91.8976,1394.4167,1310.0556,6.0499
GimpoHub,Bucheon,18,26.3333,7.6667,70.8861,3182.2283,258.1111,91.889,190.6667,176.9444,7.197
Anyang,Hanam,36,69.4444,18.5278,73.32,7727.9972,636.3333,91.7659,766.6389,718.1111,6.3299
